RowID,Pitcher,Date,PitchNo,OldType,NewType,Timestamp
"Lazaro, Danny__2026-06-11__185","Lazaro, Daniel",2026-06-11,185,Undefined,ChangeUp,2026-07-20 00:44:17
"Lazaro, Danny__2026-06-11__205","Lazaro, Daniel",2026-06-11,205,Undefined,ChangeUp,2026-07-20 00:44:17
"Lazaro, Danny__2026-06-11__209","Lazaro, Daniel",2026-06-11,209,Undefined,ChangeUp,2026-07-20 00:44:40
"Lazaro, Danny__2026-06-11__214","Lazaro, Daniel",2026-06-11,214,Undefined,Slider,2026-07-20 00:45:09
"Lazaro, Danny__2026-06-11__213","Lazaro, Daniel",2026-06-11,213,Undefined,Slider,2026-07-20 00:45:09
"Lazaro, Danny__2026-06-11__211","Lazaro, Daniel",2026-06-11,211,Undefined,Slider,2026-07-20 00:45:09
"Lazaro, Danny__2026-06-11__176","Lazaro, Daniel",2026-06-11,176,Undefined,Slider,2026-07-20 00:45:09
"Lazaro, Danny__2026-06-11__177","Lazaro, Daniel",2026-06-11,177,Undefined,Slider,2026-07-20 00:45:09
"Lazaro, Danny__2026-06-11__174","Lazaro, Daniel",2026-06-11,174,Undefined,Slider,2026-07-20 00:45:09
"Lazaro, Danny__2026-06-11__186","Lazaro, Daniel",2026-06-11,186,Undefined,Slider,2026-07-20 00:45:09
"Lazaro, Danny__2026-06-11__180","Lazaro, Daniel",2026-06-11,180,Undefined,Cutter,2026-07-20 00:45:42
"Lazaro, Danny__2026-06-11__182","Lazaro, Daniel",2026-06-11,182,Undefined,Cutter,2026-07-20 00:45:42
"Lazaro, Danny__2026-06-11__187","Lazaro, Daniel",2026-06-11,187,Undefined,Cutter,2026-07-20 00:45:42
"Lazaro, Danny__2026-06-11__207","Lazaro, Daniel",2026-06-11,207,Undefined,Cutter,2026-07-20 00:45:42
"Lazaro, Danny__2026-06-11__208","Lazaro, Daniel",2026-06-11,208,Undefined,Cutter,2026-07-20 00:45:42
"Lazaro, Danny__2026-06-11__189","Lazaro, Daniel",2026-06-11,189,Undefined,Fastball,2026-07-20 00:46:14
"Lazaro, Danny__2026-06-11__210","Lazaro, Daniel",2026-06-11,210,Undefined,Fastball,2026-07-20 00:46:14
"Lazaro, Danny__2026-06-11__206","Lazaro, Daniel",2026-06-11,206,Undefined,Fastball,2026-07-20 00:46:14
"Lazaro, Danny__2026-06-11__204","Lazaro, Daniel",2026-06-11,204,Undefined,Fastball,2026-07-20 00:46:14
"Lazaro, Danny__2026-06-11__203","Lazaro, Daniel",2026-06-11,203,Undefined,Fastball,2026-07-20 00:46:14
"Lazaro, Danny__2026-06-11__215","Lazaro, Daniel",2026-06-11,215,Undefined,Fastball,2026-07-20 00:46:14
"Lazaro, Danny__2026-06-11__183","Lazaro, Daniel",2026-06-11,183,Undefined,Fastball,2026-07-20 00:46:14
"Lazaro, Danny__2026-06-11__179","Lazaro, Daniel",2026-06-11,179,Undefined,Fastball,2026-07-20 00:46:14
"Lazaro, Danny__2026-06-11__178","Lazaro, Daniel",2026-06-11,178,Undefined,Fastball,2026-07-20 00:46:14
"Lazaro, Danny__2026-06-11__175","Lazaro, Daniel",2026-06-11,175,Undefined,Fastball,2026-07-20 00:46:14
"Lazaro, Danny__2026-06-11__173","Lazaro, Daniel",2026-06-11,173,Undefined,Fastball,2026-07-20 00:46:14
"Lazaro, Danny__2026-06-11__181","Lazaro, Daniel",2026-06-11,181,Undefined,Fastball,2026-07-20 00:46:14
"Lazaro, Danny__2026-06-11__184","Lazaro, Daniel",2026-06-11,184,Undefined,TwoSeamFastBall,2026-07-20 00:46:40
"Lazaro, Danny__2026-06-11__188","Lazaro, Daniel",2026-06-11,188,Undefined,TwoSeamFastBall,2026-07-20 00:46:40
"Lazaro, Danny__2026-06-11__212","Lazaro, Daniel",2026-06-11,212,Undefined,TwoSeamFastBall,2026-07-20 00:46:40
